"Subject"	"Activity"	"tBodyAcc-mean()-X"	"tBodyAcc-std()-X"	"tGravityAcc-mean()-X"	"tGravityAcc-std()-X"	"tBodyAccJerk-mean()-X"	"tBodyAccJerk-std()-X"	"tBodyGyro-mean()-X"	"tBodyGyro-std()-X"	"tBodyGyroJerk-mean()-X"	"tBodyGyroJerk-std()-X"	"fBodyAcc-mean()-X"	"fBodyAcc-std()-X"	"fBodyAccJerk-mean()-X"	"fBodyAccJerk-std()-X"	"fBodyGyro-mean()-X"	"fBodyGyro-std()-X"
13	"SITTING"	0.274328499591837	-0.989546275306122	0.92557651244898	-0.981379112653061	0.0752865881142857	-0.992827264081633	-0.0355124856836735	-0.985844263265306	-0.095919848877551	-0.991371016938775	-0.990135477755102	-0.989410582653061	-0.992678212653061	-0.99368217	-0.983218202857143	-0.986714694081633
14	"SITTING"	0.279990577037037	-0.976302248148148	0.939038759814815	-0.976280399444444	0.0741878844074074	-0.980890655185185	-0.0440403326851852	-0.980829981481481	-0.0921614578888889	-0.990284240185185	-0.976456609259259	-0.976303056851852	-0.981566649444444	-0.981920831111111	-0.978577117592593	-0.981573087222222
15	"SITTING"	0.27290337979661	-0.987084356101695	0.89036426220339	-0.982620883728814	0.0784792788644068	-0.988162333898305	-0.0377111130338983	-0.988204115254237	-0.0953649067966102	-0.992889042711864	-0.986619609491525	-0.987384778983051	-0.988106102033898	-0.989314359661017	-0.986152580338983	-0.988881930508475
16	"SITTING"	0.280768574492754	-0.986825605362319	0.942457377971014	-0.980158243333333	0.0734346720289855	-0.990861134782609	-0.0412014042275362	-0.981037373333333	-0.0957204520289855	-0.98958327942029	-0.987043828985507	-0.986892418405797	-0.990964251304348	-0.991567867681159	-0.978632856956522	-0.982057861449275
17	"SITTING"	0.2773570196875	-0.9944439053125	0.94488374765625	-0.99019661703125	0.075070986171875	-0.99434060296875	-0.042549159015625	-0.98963832578125	-0.094247696875	-0.9952559371875	-0.9939693815625	-0.99465731359375	-0.99454262109375	-0.9946131621875	-0.98841106765625	-0.99004126046875
18	"SITTING"	0.27727001877193	-0.994347988596491	0.909816469298246	-0.994043771403509	0.076622889	-0.991624662105263	-0.0333057034385965	-0.991956958947368	-0.0954723233684211	-0.994170190701754	-0.993144920175439	-0.994906565789474	-0.991924709824561	-0.992039060701754	-0.989961500350877	-0.992575399473684
19	"SITTING"	0.273830316164384	-0.976357663013699	0.581371509041096	-0.969355010136986	0.0753747129191781	-0.987043285479452	-0.0214151280054795	-0.984625306849315	-0.100986131452055	-0.988464752739726	-0.979238031780822	-0.975204245342466	-0.986775590136986	-0.988576991369863	-0.981743664931507	-0.985576048219178
20	"SITTING"	0.278045439090909	-0.983081858939394	0.924454522424242	-0.985829034393939	0.0746568393030303	-0.982078229242424	-0.036405928969697	-0.976309017121212	-0.0959970816060606	-0.977414910909091	-0.981203064242424	-0.98397837530303	-0.982243603030303	-0.983565760757576	-0.969913284393939	-0.978433538484848
21	"SITTING"	0.277539616823529	-0.991777287176471	0.940031368	-0.992936404470588	0.0757109789882353	-0.989439392235294	-0.0198712820612471	-0.988410501294118	-0.101114775129412	-0.989472968470588	-0.990610228	-0.992375229411765	-0.989759187058823	-0.990027822470588	-0.984893559764706	-0.98955931
22	"SITTING"	0.273583822709677	-0.978466823709677	0.839305928709677	-0.972009988709677	0.0807687311935484	-0.981664149193548	-0.0360430675032258	-0.981099172419355	-0.0986493161935484	-0.985671250322581	-0.978505368225806	-0.97862319016129	-0.980944505967742	-0.984299609032258	-0.977266731129032	-0.982373346290323
23	"SITTING"	0.273351251617647	-0.987607636617647	0.936509242941176	-0.984536722205882	0.0770022352205882	-0.984561803823529	-0.0472583464367647	-0.980363734264706	-0.0967422192647059	-0.987084633970588	-0.986325670882353	-0.988345258235294	-0.984550863529412	-0.986019630441176	-0.977149986617647	-0.981523241176471
24	"SITTING"	0.273475690147059	-0.990593766617647	0.919637604411765	-0.989660149852941	0.0763318528529412	-0.988564382205882	-0.0356229619955882	-0.988111648676471	-0.0951782658382353	-0.991442007794118	-0.989529506764706	-0.991100005441176	-0.988857403235294	-0.9892888075	-0.985676523823529	-0.988891551764706
25	"SITTING"	0.278541482461538	-0.991892828615385	0.865686078153846	-0.988879980615385	0.0752087009912308	-0.992278621692308	-0.0352052091230769	-0.989907584153846	-0.0954801379692308	-0.992304653846154	-0.991405498153846	-0.992124279384615	-0.992478846153846	-0.992750109846154	-0.988002552461538	-0.990550003076923
26	"SITTING"	0.258243530166667	-0.979768987948718	0.782955611794872	-0.965082925641026	0.0764443226333333	-0.99225839525641	-0.0370217449628205	-0.991027700512821	-0.095984817	-0.995882512051282	-0.982579546025641	-0.978755176794872	-0.992025427435897	-0.99329986051282	-0.990144882307692	-0.991318436410256
27	"SITTING"	0.273941302571429	-0.988580107714286	0.839464714	-0.982445738	0.0779038963571429	-0.990658097857143	-0.0371830822285714	-0.988492425142857	-0.0951635808	-0.993640318285714	-0.988682108428571	-0.988659196428571	-0.990839607428571	-0.991292270714286	-0.987207904714286	-0.988984618428571
28	"SITTING"	0.276977629444444	-0.983272806805556	0.907331309166667	-0.989132499583333	0.0768671621527778	-0.976286679444444	-0.0339018030166667	-0.979671983472222	-0.0953935055833333	-0.982155662638889	-0.979820142638889	-0.984956708611111	-0.976891804583333	-0.977786782222222	-0.973724326388889	-0.98161514125
29	"SITTING"	0.2771799775	-0.9907450195	0.891563755166667	-0.984679151833333	0.0745438102516667	-0.993525560333333	-0.0379271112333333	-0.990178704833333	-0.0953636995833333	-0.9933220295	-0.991093963666667	-0.990617521	-0.993445760166667	-0.9942201755	-0.988393569	-0.990727755166667
30	"SITTING"	0.268336081379032	-0.983622744193548	0.825473836935484	-0.978364712258065	0.0760057731790323	-0.988864577419355	-0.0358426482048387	-0.988132669516129	-0.095270767516129	-0.993868545483871	-0.985008785	-0.983231005483871	-0.988775436451613	-0.990017564516129	-0.987034626451613	-0.988484803225806
1	"STANDING"	0.278917629056604	-0.995759901509434	0.942952000377358	-0.99376298509434	0.0753766542264151	-0.994604542264151	-0.0239877347979245	-0.987191946603774	-0.0996092129056604	-0.992945106981132	-0.995249932641509	-0.99602834509434	-0.994630797358491	-0.995073759245283	-0.986386786037736	-0.987497128679245
2	"STANDING"	0.277911472222222	-0.987271889259259	0.896928566851852	-0.986685818703704	0.0747588597592593	-0.981085715555556	-0.0238623875712963	-0.972998629814815	-0.105562157888889	-0.979324000740741	-0.983946739814815	-0.989056469814815	-0.980973241666667	-0.983007923703704	-0.967037112037037	-0.97498812462963
3	"STANDING"	0.280046513278689	-0.96674254295082	0.93503077852459	-0.982020428032787	0.0750900622277049	-0.957086489344262	-0.0246626070770492	-0.900462227540984	-0.0994602620655738	-0.940937642459016	-0.960123409508197	-0.969931287377049	-0.957666856721311	-0.960570921803279	-0.901282267540984	-0.901985672459016
4	"STANDING"	0.280499745892857	-0.97692058	0.95619779125	-0.972908355892857	0.0721328379857143	-0.972586541964286	-0.0306449342357143	-0.909687974464286	-0.103057894142857	-0.949633878571429	-0.973497549642857	-0.978737637678571	-0.972310894285714	-0.975706723571429	-0.905464161964286	-0.912464793928571
5	"STANDING"	0.282544390892857	-0.968591815714286	0.960188699107143	-0.974088206071429	0.0725189859107143	-0.962647080178571	-0.0322711902673214	-0.910395222321429	-0.0922249863035714	-0.941930044107143	-0.964500917321429	-0.97066840875	-0.963059235178571	-0.965778920714286	-0.909661802321429	-0.912780915714286
6	"STANDING"	0.280346248596491	-0.981758159649123	0.945139003859649	-0.985583066842105	0.0730699604561404	-0.973132635789474	-0.028251913022807	-0.947561298596491	-0.103292534210526	-0.946423593157895	-0.977100287368421	-0.984067374035088	-0.97348053877193	-0.975235677719298	-0.931612384385965	-0.952817395263158
7	"STANDING"	0.282723539433962	-0.979307570377358	0.958728687924528	-0.987917503962264	0.0751915112830189	-0.976403544716981	-0.0291582212545283	-0.945247687358491	-0.0901539662169811	-0.96598339754717	-0.976681834339623	-0.980541336037736	-0.976323086226415	-0.978729082830189	-0.938121637735849	-0.947891986226415
8	"STANDING"	0.279620986111111	-0.988815418148148	0.957669921111111	-0.987690217222222	0.0753739045185185	-0.989198879814815	-0.0219671978203704	-0.972990379814815	-0.097757576	-0.981573085740741	-0.988219862222222	-0.98918374962963	-0.989029238518519	-0.990414086851852	-0.969677435925926	-0.974200997592593
9	"STANDING"	0.282310057333333	-0.975741252444444	0.961323502222222	-0.989103160444444	0.0760032053555556	-0.969973398888889	-0.029183136346	-0.921990612	-0.095897704	-0.949105691555556	-0.971662692	-0.977579248444444	-0.971313768666667	-0.971278823333333	-0.916974437555556	-0.924738576444444
10	"STANDING"	0.276650300681818	-0.978403481818182	0.954008785454545	-0.991259485	0.0809784390227273	-0.964311490454545	-0.0281854325604545	-0.929895057954545	-0.104753833181818	-0.950367548409091	-0.970099814318182	-0.982949246136364	-0.963565166136364	-0.968612135909091	-0.924005912954545	-0.932273942727273
11	"STANDING"	0.277715562765957	-0.994978878723404	0.956464535957447	-0.994529398085106	0.0760097721914894	-0.992527404255319	-0.0293141521489362	-0.980242494680851	-0.099519355893617	-0.986690403617021	-0.993808050638298	-0.995573762978723	-0.992385450851064	-0.993414564042553	-0.978301717234043	-0.981009115744681
12	"STANDING"	0.277405834918033	-0.981243992459016	0.957317821803279	-0.985314210491803	0.0744631761967213	-0.972440195081967	-0.0300030427426229	-0.883655251803279	-0.0976380412377049	-0.955415641803279	-0.976469472295082	-0.983647207377049	-0.971971634098361	-0.975581439016393	-0.890292711147541	-0.884385204098361
13	"STANDING"	0.277758431052632	-0.991020759298246	0.942695296842105	-0.992232401754386	0.0758630962280702	-0.987636104210526	-0.0295492164431579	-0.955577395789474	-0.0981199986666667	-0.978465124561404	-0.989425965614035	-0.991817705263158	-0.988198276666667	-0.988185112807018	-0.957154108421053	-0.955818411578947
14	"STANDING"	0.280545613833333	-0.973268905	0.875319569	-0.972005366333333	0.0737933748485	-0.978248526	-0.0220886526891667	-0.9610917615	-0.100718458866667	-0.969948875166667	-0.9726995625	-0.973605553666667	-0.97818164	-0.980396601666667	-0.957111767	-0.962741032833333
15	"STANDING"	0.278915803962264	-0.988949247358491	0.965528899622642	-0.988432084716981	0.0752280703207547	-0.985459068490566	-0.0262433562254717	-0.947790802075472	-0.101358786226415	-0.971514312075472	-0.986724998867925	-0.990060962641509	-0.985353492641509	-0.986934133584906	-0.950380286226415	-0.948275234150943
16	"STANDING"	0.283497402948718	-0.989076811794872	0.941587749358974	-0.985359689871795	0.0736438905641026	-0.991026497435897	-0.0299337294166667	-0.973400107564103	-0.100107332602564	-0.987102322692308	-0.989427670897436	-0.989100620641026	-0.991038638974359	-0.991847149615385	-0.973157351666667	-0.973926885
17	"STANDING"	0.277942503333333	-0.991163919871795	0.904678547435897	-0.985751365769231	0.0740864955641026	-0.992094005512821	-0.0269576937130769	-0.981373082948718	-0.101289168653846	-0.989257196282051	-0.990927533846154	-0.991318528333333	-0.992129225769231	-0.992775377692308	-0.980696264102564	-0.981791318076923
18	"STANDING"	0.278458805890411	-0.992019762739726	0.947573239863014	-0.994270075205479	0.0753539482328767	-0.989436673835616	-0.0265873248835616	-0.962254249589041	-0.0987174024657534	-0.981970965890411	-0.990409919315068	-0.992789068493151	-0.989544971232877	-0.990287933424657	-0.964428926438356	-0.962272711643836
19	"STANDING"	0.27817226	-0.989910996849315	0.944045837534247	-0.992411542465753	0.0754120366712329	-0.984792035205479	-0.025090574020274	-0.946109711917808	-0.0990467890520548	-0.97512668739726	-0.987352048356164	-0.991161671369863	-0.985039596164384	-0.985913722328767	-0.947865639178082	-0.946607045616438
20	"STANDING"	0.278076904657534	-0.967209961232877	0.911231752465753	-0.981916942054795	0.0763556159315068	-0.959528332191781	-0.0241335049573973	-0.886749172739726	-0.102049132684932	-0.921644239863014	-0.96193272890411	-0.96980617890411	-0.959710489315069	-0.963098911506849	-0.881019424794521	-0.890525705068493
21	"STANDING"	0.27695224258427	-0.981419961123596	0.881213341910112	-0.982906668876405	0.0754543858764045	-0.97706335011236	-0.0191731896359551	-0.962514526067416	-0.103199796370787	-0.971866494606742	-0.978327686179775	-0.982892836629213	-0.976803010674157	-0.979530485393258	-0.956989964269663	-0.964530315842697
22	"STANDING"	0.279053861587302	-0.985000527142857	0.954064297619048	-0.992827298253968	0.0752322891746032	-0.975639080634921	-0.0275201762126984	-0.917837043333333	-0.0975013472380952	-0.949716028730159	-0.980373909206349	-0.987400306031746	-0.974969214761905	-0.978773000952381	-0.917018098571429	-0.919851782380952
23	"STANDING"	0.277899323235294	-0.985421519558824	0.919857125882353	-0.984610385	0.0750206478676471	-0.983141958970588	-0.0327397745133823	-0.942011240294118	-0.0981481050441177	-0.972770702058824	-0.983627197058824	-0.986333385588235	-0.983283252058823	-0.984531642205882	-0.947510436323529	-0.941698515588235
24	"STANDING"	0.280348883913043	-0.98725587115942	0.96644228	-0.992197591884058	0.0746177416521739	-0.980573836811594	-0.0278611511434783	-0.960738660289855	-0.0991947719855072	-0.975856809130435	-0.984183633623188	-0.988851853478261	-0.98116164057971	-0.981721691014493	-0.958540187246377	-0.961885695217391
25	"STANDING"	0.278013701621622	-0.991970126756757	0.929794733108108	-0.993148267702703	0.0752337295675676	-0.988312658378378	-0.0247946750959459	-0.971357421216216	-0.100473697756757	-0.977909693918919	-0.990093202837838	-0.992851743243243	-0.988404654864865	-0.989339890810811	-0.96807852527027	-0.97266417
26	"STANDING"	0.281127035405405	-0.993069368783784	0.965460891621622	-0.992678782162162	0.0753578207972973	-0.990498355	-0.0245345837959459	-0.973785111216216	-0.100355997108108	-0.978472409324324	-0.991993372297297	-0.993702408378378	-0.990586982162162	-0.991275662027027	-0.969364268513514	-0.975321645675676
27	"STANDING"	0.279566921625	-0.9919515835	0.965351492	-0.994012162875	0.074969980825	-0.987628362	-0.026731653905	-0.9699020075	-0.0987605078625	-0.9826424495	-0.99012181225	-0.99287582525	-0.987771749375	-0.98860681	-0.970149628875	-0.970221836375
28	"STANDING"	0.277795069113924	-0.977748638607595	0.948514848481013	-0.990059426582279	0.0753131601898734	-0.968604559620253	-0.0253281543540506	-0.884032232405063	-0.102248409070886	-0.928343397721519	-0.97251980164557	-0.98026749	-0.968513715189873	-0.971672796708861	-0.880426103164557	-0.886706768227848
29	"STANDING"	0.277965065846154	-0.996068635384615	0.974508732	-0.996764227384615	0.0753052530307692	-0.993652820615385	-0.0276075573307692	-0.977994819846154	-0.0988701505538462	-0.983293061692308	-0.995024039692308	-0.996604570307692	-0.993736906	-0.994123423538462	-0.974485449538462	-0.979162564923077
